location_id,date,number_confirmed_cases
Afghanistan,1/22/20,0
Albania,1/22/20,0
Algeria,1/22/20,0
Andorra,1/22/20,0
Angola,1/22/20,0
Antigua and Barbuda,1/22/20,0
Argentina,1/22/20,0
Armenia,1/22/20,0
Australia (Australian Capital Territory),1/22/20,0
Australia (New South Wales),1/22/20,0
Australia (Northern Territory),1/22/20,0
Australia (Queensland),1/22/20,0
Australia (South Australia),1/22/20,0
Australia (Tasmania),1/22/20,0
Australia (Victoria),1/22/20,0
Australia (Western Australia),1/22/20,0
Austria,1/22/20,0
Azerbaijan,1/22/20,0
Bahamas,1/22/20,0
Bahrain,1/22/20,0
Bangladesh,1/22/20,0
Barbados,1/22/20,0
Belarus,1/22/20,0
Belgium,1/22/20,0
Benin,1/22/20,0
Bhutan,1/22/20,0
Bolivia,1/22/20,0
Bosnia and Herzegovina,1/22/20,0
Brazil,1/22/20,0
Brunei,1/22/20,0
Bulgaria,1/22/20,0
Burkina Faso,1/22/20,0
Cabo Verde,1/22/20,0
Cambodia,1/22/20,0
Cameroon,1/22/20,0
Canada (Alberta),1/22/20,0
Canada (British Columbia),1/22/20,0
Canada (Grand Princess),1/22/20,0
Canada (Manitoba),1/22/20,0
Canada (New Brunswick),1/22/20,0
Canada (Newfoundland and Labrador),1/22/20,0
Canada (Nova Scotia),1/22/20,0
Canada (Ontario),1/22/20,0
Canada (Prince Edward Island),1/22/20,0
Canada (Quebec),1/22/20,0
Canada (Saskatchewan),1/22/20,0
Central African Republic,1/22/20,0
Chad,1/22/20,0
Chile,1/22/20,0
China (Anhui),1/22/20,1
China (Beijing),1/22/20,14
China (Chongqing),1/22/20,6
China (Fujian),1/22/20,1
China (Gansu),1/22/20,0
China (Guangdong),1/22/20,26
China (Guangxi),1/22/20,2
China (Guizhou),1/22/20,1
China (Hainan),1/22/20,4
China (Hebei),1/22/20,1
China (Heilongjiang),1/22/20,0
China (Henan),1/22/20,5
China (Hong Kong),1/22/20,0
China (Hubei),1/22/20,444
China (Hunan),1/22/20,4
China (Inner Mongolia),1/22/20,0
China (Jiangsu),1/22/20,1
China (Jiangxi),1/22/20,2
China (Jilin),1/22/20,0
China (Liaoning),1/22/20,2
China (Macau),1/22/20,1
China (Ningxia),1/22/20,1
China (Qinghai),1/22/20,0
China (Shaanxi),1/22/20,0
China (Shandong),1/22/20,2
China (Shanghai),1/22/20,9
China (Shanxi),1/22/20,1
